element,zero_shot,zero_shot2,few_shot,few_shot2,chain_of_thought,chain_of_thought2,program_aided,program_aided2,rag,rag2,react,react2
"lesion_size","Extract lesion size(s) in cm from the PDF text. Return JSON: {""lesion_size_cm"":""...""}. If not stated -> ""Not reported""; if unclear -> ""Unclear (illegible)"". Do not infer.","Find any lesion measurements and return JSON: {""lesion_size_cm"":""...""}. Include 3D sizes if reported. Use ""Not reported"" or ""Unclear (illegible)"" as needed.","Example input: 'US: mass 1.2 x 0.9 x 0.8 cm.' Example output: {""lesion_size_cm"":""1.2 x 0.9 x 0.8""}. Now extract lesion size from: <<<PDF_TEXT>>>.","Example input: 'MRI: lesion size 2.1 cm.' Example output: {""lesion_size_cm"":""2.1""}. Now extract lesion size from: <<<PDF_TEXT>>>.","Think step by step internally, but output only JSON: {""lesion_size_cm"":""...""}. No inference; use ""Not reported""/""Unclear (illegible)"".","Reason silently and output only {""lesion_size_cm"":""...""}. If measurement is missing or unreadable, return ""Not reported"" or ""Unclear (illegible)"".","Steps: 1) Scan for numeric sizes with cm/mm. 2) Select lesion size for the target report section. 3) Output {""lesion_size_cm"":""...""}. If missing -> ""Not reported""; if unclear -> ""Unclear (illegible)"".","Procedure: Identify size expressions (e.g., 1.2 x 0.9 x 0.8 cm). Normalize to cm if stated. Output JSON only. No inference.","Use only the provided context to fill {""lesion_size_cm"":""...""}. If absent -> ""Not reported""; if illegible -> ""Unclear (illegible)"". Context: <<<CONTEXT>>>.","Context-only extraction: return lesion size in cm as JSON. Do not infer beyond context. Context: <<<CONTEXT>>>.","You may reason internally with Thought/Action/Observation, but output only JSON {""lesion_size_cm"":""...""}. If missing/unclear -> ""Not reported""/""Unclear (illegible)"".","Internal tool-style reasoning allowed; final output JSON only for lesion size. No inference beyond text."
"lesion_location","Extract lesion location (laterality, quadrant, clock-face, depth, distance from nipple) from PDF text. Return JSON: {""lesion_location"":""...""}. Use ""Not reported"" or ""Unclear (illegible)"". Do not infer.","Find lesion location details and output JSON {""lesion_location"":""...""}. Include laterality and clock-face if present. No inference.","Example input: 'Right breast mass at 10:00, 5 cm from nipple.' Example output: {""lesion_location"":""right, 10:00, 5 cm from nipple""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'Left upper outer quadrant lesion, posterior depth.' Example output: {""lesion_location"":""left, upper outer quadrant, posterior""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only {""lesion_location"":""...""}. If missing or unclear, use ""Not reported""/""Unclear (illegible)"".","Reason silently and output only JSON for lesion location. Do not infer if missing or illegible.","Steps: 1) Locate laterality and anatomic descriptors (quadrant/clock-face/depth/distance). 2) Concatenate as a single string. 3) Output JSON. If missing -> ""Not reported"".","Procedure: Parse location tokens (e.g., 2:00, UOQ, retroareolar). Output {""lesion_location"":""...""}. If unclear -> ""Unclear (illegible)"".","Use only provided context. Return JSON {""lesion_location"":""...""}. If not in context -> ""Not reported"".","Context-only location extraction. Output JSON only. Context: <<<CONTEXT>>>.","ReAct-style internal reasoning allowed; output only JSON {""lesion_location"":""...""}. No inference.","Tool reasoning allowed internally; final output JSON only for lesion location."
"calcifications_asymmetry","Extract abnormality type (calcifications/asymmetry/distortion/mass) from PDF text. Return JSON: {""abnormality"":""...""}. Use ""Not reported"" or ""Unclear (illegible)"". Do not infer.","Identify stated abnormality types and output JSON {""abnormality"":""...""}. Include multiple if listed. No inference.","Example input: 'Mammogram shows grouped calcifications.' Example output: {""abnormality"":""calcifications""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'Diagnostic MMG: focal asymmetry and architectural distortion.' Example output: {""abnormality"":""asymmetry; distortion""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only {""abnormality"":""...""}. If missing/unclear -> ""Not reported""/""Unclear (illegible)"".","Reason silently and return JSON for abnormality type only. No inference beyond text.","Steps: 1) Scan for keywords: calcification, asymmetry, distortion, mass. 2) List stated items. 3) Output JSON. Missing -> ""Not reported"".","Procedure: Extract abnormality descriptors exactly as written and output JSON. If unclear -> ""Unclear (illegible)"".","Use only provided context to fill {""abnormality"":""...""}. If absent -> ""Not reported"". Context: <<<CONTEXT>>>.","Context-only abnormality extraction. Output JSON only. Context: <<<CONTEXT>>>.","Internal Thought/Action/Observation allowed; output only JSON abnormality field. No inference.","ReAct-style reasoning allowed internally; final output JSON only for abnormality."
"additional_enhancement_mri","Extract MRI additional enhancement details (yes/no + description) from PDF text. Return JSON: {""additional_enhancement_mri"":""...""}. Use ""Not reported"" or ""Unclear (illegible)"".","Find statements about additional MRI enhancement and output JSON {""additional_enhancement_mri"":""...""}. No inference.","Example input: 'MRI shows additional non-mass enhancement in right breast.' Example output: {""additional_enhancement_mri"":""yes - non-mass enhancement in right breast""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'No additional enhancement identified on MRI.' Example output: {""additional_enhancement_mri"":""no additional enhancement""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only JSON {""additional_enhancement_mri"":""...""}. Use ""Not reported""/""Unclear (illegible)"".","Reason silently and output only the MRI enhancement field as JSON. Do not infer.","Steps: 1) Locate MRI section. 2) Capture any statement about additional enhancement. 3) Output JSON. Missing -> ""Not reported"".","Procedure: Extract enhancement statements exactly; output JSON only. If unclear -> ""Unclear (illegible)"".","Use only provided context. Return JSON {""additional_enhancement_mri"":""...""}. If absent -> ""Not reported"". Context: <<<CONTEXT>>>.","Context-only MRI enhancement extraction. Output JSON only. Context: <<<CONTEXT>>>.","Internal tool-style reasoning allowed; final output JSON only for MRI enhancement. No inference.","ReAct-style internal reasoning allowed; output JSON only for additional enhancement."
"extent","Extract extent of disease (size/extent statements) from PDF text. Return JSON: {""extent"":""...""}. Use ""Not reported"" or ""Unclear (illegible)"". Do not infer.","Identify explicit extent statements (e.g., 3 cm span, multicentric) and output JSON {""extent"":""...""}.","Example input: 'Extent of disease spans 4.5 cm.' Example output: {""extent"":""4.5 cm""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'Multifocal disease with total extent 6 cm.' Example output: {""extent"":""multifocal, total extent 6 cm""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only {""extent"":""...""}. No inference.","Reason silently and output JSON for extent only. If missing/unclear -> ""Not reported""/""Unclear (illegible)"".","Steps: 1) Find explicit extent/aggregate size phrases. 2) Copy verbatim. 3) Output JSON. Missing -> ""Not reported"".","Procedure: Extract extent statements exactly as written; output JSON only.","Use only provided context. Return {""extent"":""...""}. If absent -> ""Not reported"".","Context-only extent extraction. Output JSON only. Context: <<<CONTEXT>>>.","Internal Thought/Action/Observation allowed; output only JSON extent field.","ReAct-style reasoning allowed internally; final output JSON for extent only."
"accurate_clip_placement","Extract clip placement accuracy/location from PDF text. Return JSON: {""clip_placement"":""...""}. Use ""Not reported"" or ""Unclear (illegible)"". Do not infer.","Find post-procedure clip placement statements and output JSON {""clip_placement"":""...""}.","Example input: 'Post-biopsy mammogram shows clip in expected location.' Example output: {""clip_placement"":""clip in expected location""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'Clip migrated 2 cm laterally.' Example output: {""clip_placement"":""clip migrated 2 cm laterally""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only JSON {""clip_placement"":""...""}. No inference.","Reason silently and output only the clip placement JSON. Missing/unclear -> ""Not reported""/""Unclear (illegible)"".","Steps: 1) Locate post-procedure mammogram section. 2) Extract clip placement details. 3) Output JSON.","Procedure: Extract clip placement statements verbatim; output JSON only.","Use only provided context. Return {""clip_placement"":""...""}. If absent -> ""Not reported"".","Context-only clip placement extraction. Output JSON only. Context: <<<CONTEXT>>>.","ReAct-style reasoning allowed internally; output only JSON clip placement.","Internal tool-style reasoning allowed; final output JSON for clip placement."
"workup_recommendation","Extract workup recommendations (biopsy, follow-up, MRI, etc.) from PDF text. Return JSON: {""recommendation"":""...""}. Use ""Not reported""/""Unclear (illegible)"". Do not infer.","Identify explicit recommendation statements and output JSON {""recommendation"":""...""}.","Example input: 'Recommend ultrasound-guided biopsy.' Example output: {""recommendation"":""ultrasound-guided biopsy""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'Recommend 6-month follow-up mammogram.' Example output: {""recommendation"":""6-month follow-up mammogram""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only {""recommendation"":""...""}. No inference.","Reason silently and output JSON for recommendation only. Missing/unclear -> ""Not reported""/""Unclear (illegible)"".","Steps: 1) Find recommendation section. 2) Copy recommendation text. 3) Output JSON.","Procedure: Extract recommendation statements exactly; output JSON only.","Use only provided context. Return {""recommendation"":""...""}. If absent -> ""Not reported"".","Context-only recommendation extraction. Output JSON only. Context: <<<CONTEXT>>>.","ReAct-style reasoning allowed internally; output only JSON recommendation.","Internal tool-style reasoning allowed; final output JSON for recommendation."
"lymph_node","Extract lymph node findings (axillary/internal mammary; normal/abnormal) from PDF text. Return JSON: {""lymph_nodes"":""...""}. Use ""Not reported""/""Unclear (illegible)"". Do not infer.","Identify any lymph node statements and output JSON {""lymph_nodes"":""...""}.","Example input: 'No abnormal axillary lymph nodes.' Example output: {""lymph_nodes"":""no abnormal axillary nodes""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'Enlarged right axillary node with cortical thickening.' Example output: {""lymph_nodes"":""enlarged right axillary node with cortical thickening""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only {""lymph_nodes"":""...""}. No inference.","Reason silently and output JSON for lymph nodes only. Missing/unclear -> ""Not reported""/""Unclear (illegible)"".","Steps: 1) Scan for lymph node descriptors. 2) Copy exact statement. 3) Output JSON.","Procedure: Extract lymph node findings verbatim; output JSON only.","Use only provided context. Return {""lymph_nodes"":""...""}. If absent -> ""Not reported"".","Context-only lymph node extraction. Output JSON only. Context: <<<CONTEXT>>>.","ReAct-style reasoning allowed internally; output only JSON lymph_nodes.","Internal tool-style reasoning allowed; final output JSON for lymph_nodes."
"chronology_preserved","Extract whether chronology is preserved or report notes timeline consistency. Return JSON: {""chronology_preserved"":""...""}. Use ""Not reported""/""Unclear (illegible)"". Do not infer.","Identify any explicit statement about chronology/timeline preservation and output JSON {""chronology_preserved"":""...""}.","Example input: 'Chronology preserved in report.' Example output: {""chronology_preserved"":""yes""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'Chronology not preserved; dates inconsistent.' Example output: {""chronology_preserved"":""no - dates inconsistent""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only {""chronology_preserved"":""...""}. No inference.","Reason silently and output JSON for chronology only. Missing/unclear -> ""Not reported""/""Unclear (illegible)"".","Steps: 1) Scan for chronology/timeline statements. 2) Copy exact text. 3) Output JSON.","Procedure: Extract chronology statements verbatim; output JSON only.","Use only provided context. Return {""chronology_preserved"":""...""}. If absent -> ""Not reported"".","Context-only chronology extraction. Output JSON only. Context: <<<CONTEXT>>>.","ReAct-style reasoning allowed internally; output only JSON chronology_preserved.","Internal tool-style reasoning allowed; final output JSON for chronology_preserved."
"biopsy_method","Extract biopsy method (core, stereotactic, US-guided, MRI-guided, FNA, excision) from PDF text. Return JSON: {""biopsy_method"":""...""}. Use ""Not reported""/""Unclear (illegible)"". Do not infer.","Identify explicit biopsy method terms and output JSON {""biopsy_method"":""...""}.","Example input: 'US-guided core biopsy performed.' Example output: {""biopsy_method"":""US-guided core""}. Now extract from: <<<PDF_TEXT>>>.","Example input: 'Stereotactic biopsy of calcifications.' Example output: {""biopsy_method"":""stereotactic""}. Now extract from: <<<PDF_TEXT>>>.","Think step by step internally; output only {""biopsy_method"":""...""}. No inference.","Reason silently and output JSON for biopsy method only. Missing/unclear -> ""Not reported""/""Unclear (illegible)"".","Steps: 1) Scan pathology/biopsy section. 2) Extract method phrase. 3) Output JSON.","Procedure: Extract method verbatim; output JSON only.","Use only provided context. Return {""biopsy_method"":""...""}. If absent -> ""Not reported"".","Context-only biopsy method extraction. Output JSON only. Context: <<<CONTEXT>>>.","ReAct-style reasoning allowed internally; output only JSON biopsy_method.","Internal tool-style reasoning allowed; final output JSON for biopsy_method."
